[FILL] a/the	PART	QUANTIFIER	[FILL] is a part of	QUANTIFIER	WHOLE	[FILL] for	FOR/PURPOSE	[FILL] by	BY/THROUGH/HOW	SCOPE	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
	length		is a part of		size									21f2-7587-e5e3-e55c	
a	lens	is	a part of a		telescope							#1880		70de-f5de-18c7-7030	
	lenses	are	a part of		eyeglasses							# Q 1753		7567-766c-728b-ee63	
a	light bulb	is	a part of a 		lamp							# Q 2143		7632-c932-9c6d-27f0	
	limbs		are part of an		animal									8091-5cea-a07b-4718	
	long ears	are	a part of a		rabbit							#2085		ad4a-8ca1-6b50-8927	
the	low tide	is	a part of		the tide cycle							#1038	Moved to STAGE-IN-PROCESS	b215-d7ed-9939-404a	
the	lungs		are a part of the		body of an animal	used for	breathing air							d1c9-6993-fd7a-b8e9	
the	lungs	are	a part of		the respiratory system							#1292		abc0-1f2b-3484-cf27	
a	mane	is	a part of a		horse							# Q 1529		3363-8e75-3412-4de0	
	metamorphosis	is	a part of		some animals' life cycles							#1079	Moved to STAGE-IN-PROCESS	8075-e3d0-63d5-cd16	
a	microorganism	is	a part of a		compost pile							#1658		4eea-4745-39cb-2779	
a	mountain top	is	a part of a		mountain							#2023		3c27-844b-912b-1725	
the	mouth		is a part of the		digestive system	used for	eating							4677-279f-1c3b-2333	
	muscle cells	are	a part of		muscles							#1635		09b1-d7da-1e41-3064	
a	needle	is	a part of a		pine tree							#840		fa53-580c-737e-18b6	
the	nervous system	is	a part of		the body					of an animal		#738		356b-17e1-59ba-230b	
the	night time		is part of		one day							# These probably need to move to a table about ordered/unordered lists or sequences or cycles. (From 70)		3e94-319d-1ebd-7f62	
a	nose		is a part of a		body									1548-3b52-24c7-3f2d	
	objects in an environment		are a part of		that environment							# Q 1525		a25b-83dd-c184-0d1b	
	observations; data	are	a part of the		results of an experiment							#525		818d-dd35-8a71-3881	
	offspring	are	a part of a		generation							#1670		d97c-35a6-227e-6198	
an	organism's shelter	is	a part of		that organism's environment							#2026		d883-1167-2927-a7f7	
	organisms		are a part of		an environment							#369		f7a7-6ffc-be3e-d21d	
	oxygen	is	a part of		the carbon dioxide-oxygen cycle							#527	Moved to STAGE-IN-PROCESS	89d3-eb72-c42e-6f2f	
	parents	are	a part of a		generation							#1670		9bdb-b605-9a16-135a	
	pedals		are part of a 		bicycle	for	pedalling							ab36-04fe-8434-d4b1	
a	piece		is a part of a		whole							# smaller part?		18b6-e242-49e7-e95b	
	pollen		is part of a		flower	for	reproduction							4dcf-7536-2995-3a73	
	precipitation	is	a part of		the water cycle							#1021	Moved to STAGE-IN-PROCESS	39c2-2c6c-9bd6-4d50	
the	pupa stage	is often	a part of		metamorphosis							#1321	Moved to STAGE-IN-PROCESS	2758-c4dd-6be1-52ca	
	reproduction	is	a part of		a life cycle							#259	Moved to STAGE-IN-PROCESS	f52a-e0db-67f6-3752	
a	retina	is	part of an		eye	for	sensing light					# Q 1997		b526-c089-192f-6567	
a	riverbed	is	a part of		a river							#599		4ac1-3c02-0e81-324b	
	roots		are a part of a		plant; tree									6cdd-9626-9859-7279	
a	rough surface		is a part of		sandpaper									a67b-fecc-2c14-cefb	
	sand	is	a part of a		beach							# Q 1968		2f45-350f-6049-7f1a	
a	scale		is a part of a		fish									dc30-f318-31e7-5c0b	
a	seashell	is	a part of a		crab							#519		fb95-007e-8829-b2aa	
a	seashell	is sometimes	a part of a		water animal							# Q 1783		ed93-78bd-8d20-1b58	
a	seed		is a part of a		plant									9e7f-c460-d954-2617	
	seeds		are a part of 		berries									68ec-a8a5-cd5a-02df	
	shape	is	a part of		appearance							#253	Properties-Generic instead ?	049d-aaac-9f21-da33	
a	shell	is	a part of a 		turtle	for	protecting the turtle					# Q 1102		7a5a-d5b3-8af9-29c1	
a	shell	is	a part of a 		snail	for	protecting the snail					# Q 1102		e4da-e98f-0e23-2742	
a	shell	is	a part of	some	animals							#1384		499d-e50e-b35d-35c2	
a	skeletal system		is a part of an		animal	for	providing support; providing shape; providing protection							23e8-c43f-6394-cd30	
a	skeletal system		is a part of an		animal									af66-465f-0191-efbd	
the	skeleton	is	a part of		the skeletal system							#1356		290b-dd26-b289-0cff	
	skin	is	a part of an		animal							# Q 1570		75d4-d09a-466c-e258	
the	small intestine	is	a part of		the digestive system							#1866		f653-454d-6b95-5714	
	soil	is usually	part of an		environment							# Q 122		1004-3a8f-3732-df62	
	soil	is	a part of		the ground					outside		#1346		004d-1843-0f4a-8ad4	
the	spinal cord	is	a part of the		central nervous system							# Q 1999		4aa7-c643-26d8-965b	
	spots		are a part of a		lady bug									57af-885f-6ff9-f123	
a	stem	is often	a part of		plant							# Q 1554		5740-86a7-4529-25cd	
a	stinger	is	a part of a		wasp							#1099		8f77-75b9-8616-35c0	
the	stomach		is a part of the 		digestive system									89e6-524b-d877-7386	
a	string	is	a part of a		guitar	for	producing sound					# Q 967		f0bc-89f4-573b-edfe	
a	surface		is a part of an		object									eb92-b0cd-c257-9bcf	
a	surface	is	a part of a		material							#1009		1676-0dc7-3e9b-615a	
a	thorn	is	a part of	some	plants							#2127		4da2-ef1d-0184-bd32	
	tinted lenses	are	a part of		sunglasses	for	protecting the eyes	by	reflecting light			# Q 1901		a33f-4863-f3b8-8871	
a	trunk		is a part of a		tree	for	supporting the tree					#507		a036-70b7-7cb6-d950	
	water	is	a part of an		environment							#1488		9321-c12e-e67d-201b	
	wheels		are a part of		roller skates									0b44-5bde-7e62-3b5c	
	wheels	are	a part of a		car							#884		ee81-6896-fd50-40b6	
	whiskers	are	a part of		some fish	for	feeling					# Q 1180		28be-f4f5-1057-562f	
a	window		is a part of a		house									cbf9-c0cb-677f-ddce	
	winter		is a part of		the year									1868-6ec4-8e36-8c79	
a	wire	is	a part of an		electrical circuit	for	conducting electricity					# Q 972		9298-f573-0659-38d2	
a	wrist	is	a part of		the body							#1665		ac78-13ef-41eb-82ab	
	fur	is usually	part of a		mammal									32f6-7c3e-e2cd-2bd0	
